類型,公司代號 ,公司名稱 ,上市日,市場別,產業別,CFICode
股票 ,1597,直得,2020/12/23,上市,電機機械,ESVUFR
股票 ,1598,岱宇,2016/9/20,上市,運動休閒,ESVUFR
股票 ,1603,華電,1968/6/3,上市,電器電纜,ESVUFR
股票 ,1604,聲寶,1970/12/14,上市,電器電纜,ESVUFR
股票 ,1605,華新,1972/11/3,上市,電器電纜,ESVUFR
股票 ,1608,華榮,1988/7/11,上市,電器電纜,ESVUFR
股票 ,1609,大亞,1988/12/12,上市,電器電纜,ESVUFR
股票 ,1611,中電,1990/1/16,上市,電器電纜,ESVUFR
股票 ,1612,宏泰,1993/5/8,上市,電器電纜,ESVUFR
股票 ,1614,三洋電,1997/9/18,上市,電器電纜,ESVUFR
股票 ,1615,大山,2000/3/30,上市,電器電纜,ESVUFR
股票 ,1616,億泰,2000/9/11,上市,電器電纜,ESVUFR
股票 ,1617,榮星,2000/9/11,上市,電器電纜,ESVUFR
股票 ,1618,合機,2000/9/11,上市,電器電纜,ESVUFR
股票 ,1626,艾美特-KY,2013/3/21,上市,電器電纜,ESVUFR
股票 ,1702,南僑,1973/5/30,上市,食品工業,ESVUFR
股票 ,1707,葡萄王,1982/12/20,上市,生技醫療業,ESVUFR
股票 ,1708,東鹼,1986/6/16,上市,化學工業,ESVUFR
股票 ,1709,和益,1986/7/3,上市,化學工業,ESVUFR
股票 ,1710,東聯,1987/10/21,上市,化學工業,ESVUFR
股票 ,1711,永光,1988/12/27,上市,化學工業,ESVUFR
股票 ,1712,興農,1989/12/14,上市,化學工業,ESVUFR
股票 ,1713,國化,1990/1/31,上市,化學工業,ESVUFR
股票 ,1714,和桐,1991/8/30,上市,化學工業,ESVUFR
股票 ,1717,長興,1994/3/31,上市,化學工業,ESVUFR
股票 ,1718,中纖,1963/12/2,上市,化學工業,ESVUFR
股票 ,1720,生達,1995/12/12,上市,生技醫療業,ESVUFR
股票 ,1721,三晃,1996/5/16,上市,化學工業,ESVUFR
股票 ,1722,台肥,1998/3/24,上市,化學工業,ESVUFR
股票 ,1723,中碳,1998/11/27,上市,化學工業,ESVUFR
股票 ,1725,元禎,2000/9/11,上市,化學工業,ESVUFR
股票 ,1726,永記,2000/9/11,上市,化學工業,ESVUFR
股票 ,1727,中華化,2000/9/11,上市,化學工業,ESVUFR
股票 ,1730,花仙子,2001/9/17,上市,化學工業,ESVUFR
股票 ,1731,美吾華,2001/9/17,上市,生技醫療業,ESVUFR
股票 ,1732,毛寶,2001/9/17,上市,化學工業,ESVUFR
股票 ,1733,五鼎,2001/9/17,上市,生技醫療業,ESVUFR
股票 ,1734,杏輝,2002/8/26,上市,生技醫療業,ESVUFR
股票 ,1735,日勝化,2002/8/26,上市,化學工業,ESVUFR
股票 ,1736,喬山,2003/1/9,上市,運動休閒,ESVUFR
股票 ,1737,臺鹽,2003/11/18,上市,食品工業,ESVUFR
股票 ,1752,南光,2022/1/19,上市,生技醫療業,ESVUFR
股票 ,1760,寶齡富錦,2018/1/23,上市,生技醫療業,ESVUFR
股票 ,1762,中化生,2010/12/20,上市,生技醫療業,ESVUFR
股票 ,1773,勝一,2009/2/27,上市,化學工業,ESVUFR
股票 ,1776,展宇,2016/5/9,上市,化學工業,ESVUFR
股票 ,1783,和康生,2013/12/20,上市,生技醫療業,ESVUFR
股票 ,1786,科妍,2013/11/12,上市,生技醫療業,ESVUFR
股票 ,1789,神隆,2011/9/29,上市,生技醫療業,ESVUFR
股票 ,1795,美時,2019/12/16,上市,生技醫療業,ESVUFR
股票 ,1802,台玻,1973/7/20,上市,玻璃陶瓷,ESVUFR
股票 ,1805,寶徠,1989/10/20,上市,建材營造業,ESVUFR
股票 ,1806,冠軍,1992/9/29,上市,玻璃陶瓷,ESVUFR
股票 ,1808,潤隆,1994/10/26,上市,建材營造業,ESVUFR
股票 ,1809,中釉,1996/4/30,上市,玻璃陶瓷,ESVUFR
股票 ,1810,和成,1991/10/14,上市,玻璃陶瓷,ESVUFR
股票 ,1817,凱撒衛,2013/10/24,上市,玻璃陶瓷,ESVUFR
股票 ,1903,士紙,1963/12/9,上市,造紙工業,ESVUFR
股票 ,1904,正隆,1971/9/10,上市,造紙工業,ESVUFR
股票 ,1905,華紙,1975/2/7,上市,造紙工業,ESVUFR
股票 ,1906,寶隆,1976/4/26,上市,造紙工業,ESVUFR
股票 ,1907,永豐餘,1977/2/22,上市,造紙工業,ESVUFR
股票 ,1909,榮成,1985/11/19,上市,造紙工業,ESVUFR
股票 ,2002,中鋼,1974/12/26,上市,鋼鐵工業,ESVUFR
股票 ,2006,東和鋼鐵,1988/7/13,上市,鋼鐵工業,ESVUFR
股票 ,2007,燁興,1988/10/4,上市,鋼鐵工業,ESVUFR
股票 ,2008,高興昌,1988/12/28,上市,鋼鐵工業,ESVUFR
股票 ,2009,第一銅,1989/10/20,上市,鋼鐵工業,ESVUFR
股票 ,2010,春源,1989/12/22,上市,鋼鐵工業,ESVUFR
股票 ,2012,春雨,1991/10/17,上市,鋼鐵工業,ESVUFR
股票 ,2013,中鋼構,1992/1/21,上市,鋼鐵工業,ESVUFR
股票 ,2014,中鴻,1992/2/20,上市,鋼鐵工業,ESVUFR
股票 ,2015,豐興,1992/5/25,上市,鋼鐵工業,ESVUFR
股票 ,2017,官田鋼,1992/11/2,上市,鋼鐵工業,ESVUFR
股票 ,2020,美亞,1993/4/27,上市,鋼鐵工業,ESVUFR
股票 ,2022,聚亨,1995/3/27,上市,鋼鐵工業,ESVUFR
股票 ,2023,燁輝,1995/7/28,上市,鋼鐵工業,ESVUFR
股票 ,2024,志聯,1995/12/30,上市,鋼鐵工業,ESVUFR
股票 ,2025,千興,1996/2/8,上市,鋼鐵工業,ESVUFR
股票 ,2027,大成鋼,1996/10/24,上市,鋼鐵工業,ESVUFR
股票 ,2028,威致,1996/12/13,上市,鋼鐵工業,ESVUFR
